Altitude,rho,V_a
0,1.225,340.294
100,1.21328,339.91
200,1.20165,339.526
300,1.19011,339.141
400,1.17864,338.755
500,1.16727,338.37
600,1.15598,337.983
700,1.14477,337.597
800,1.13364,337.21
900,1.1226,336.822
1000,1.11164,336.434
1100,1.10077,336.046
1200,1.08997,335.657
1300,1.07925,335.267
1400,1.06862,334.878
1500,1.05807,334.487
1600,1.04759,334.097
1700,1.0372,333.705
1800,1.02688,333.314
1900,1.01665,332.922
2000,1.00649,332.529
2100,0.99641,332.136
2200,0.986407,331.743
2300,0.976481,331.349
2400,0.966632,330.954
2500,0.956859,330.56
2600,0.947162,330.164
2700,0.93754,329.768
2800,0.927993,329.372
2900,0.91852,328.975
3000,0.909122,328.578
3100,0.899798,328.18
3200,0.890546,327.782
3300,0.881368,327.383
3400,0.872262,326.984
3500,0.863229,326.584
3600,0.854267,326.184
3700,0.845377,325.784
3800,0.836557,325.382
3900,0.827808,324.981
4000,0.819129,324.579
4100,0.81052,324.176
4200,0.801981,323.773
4300,0.79351,323.369
4400,0.785108,322.965
4500,0.776775,322.56
4600,0.768509,322.155
4700,0.76031,321.75
4800,0.752179,321.343
4900,0.744114,320.937
5000,0.736116,320.529
5100,0.728183,320.122
5200,0.720317,319.713
5300,0.712515,319.305
5400,0.704778,318.895
5500,0.697106,318.486
5600,0.689497,318.075
5700,0.681953,317.664
5800,0.674471,317.253
5900,0.667053,316.841
6000,0.659697,316.428
6100,0.652404,316.015
6200,0.645172,315.602
6300,0.638002,315.188
6400,0.630892,314.773
6500,0.623844,314.358
6600,0.616856,313.942
6700,0.609928,313.526
6800,0.60306,313.109
6900,0.596251,312.692
7000,0.589501,312.274
7100,0.58281,311.855
7200,0.576177,311.436
7300,0.569602,311.016
7400,0.563084,310.596
7500,0.556624,310.175
7600,0.55022,309.754
7700,0.543873,309.332
7800,0.537582,308.909
7900,0.531347,308.486
8000,0.525168,308.063
8100,0.519043,307.638
8200,0.512973,307.214
8300,0.506958,306.788
8400,0.500997,306.362
8500,0.49509,305.935
8600,0.489236,305.508
8700,0.483435,305.08
8800,0.477687,304.652
8900,0.471992,304.223
9000,0.466348,303.793
9100,0.460756,303.363
9200,0.455216,302.932
9300,0.449727,302.501
9400,0.444289,302.069
9500,0.438901,301.636
9600,0.433563,301.203
9700,0.428275,300.769
9800,0.423036,300.334
9900,0.417847,299.899
10000,0.412707,299.463
10100,0.407615,299.027
10200,0.402571,298.59
10300,0.397575,298.152
10400,0.392627,297.714
10500,0.387725,297.275
10600,0.382871,296.835
10700,0.378064,296.395
10800,0.373303,295.954
10900,0.368588,295.512
11000,0.363918,295.07
11100,0.358224,295.07
11200,0.35262,295.07
11300,0.347103,295.07
11400,0.341673,295.07
11500,0.336327,295.07
11600,0.331065,295.07
11700,0.325886,295.07
11800,0.320787,295.07
11900,0.315768,295.07
12000,0.310828,295.07
12100,0.305965,295.07
12200,0.301178,295.07
12300,0.296466,295.07
12400,0.291828,295.07
12500,0.287262,295.07
12600,0.282768,295.07
12700,0.278344,295.07
12800,0.273989,295.07
12900,0.269703,295.07
13000,0.265483,295.07
13100,0.26133,295.07
13200,0.257241,295.07
13300,0.253217,295.07
13400,0.249255,295.07
13500,0.245355,295.07
13600,0.241517,295.07
13700,0.237738,295.07
13800,0.234019,295.07
13900,0.230357,295.07
14000,0.226753,295.07
14100,0.223206,295.07
14200,0.219714,295.07
14300,0.216276,295.07
14400,0.212893,295.07
14500,0.209562,295.07
14600,0.206283,295.07
14700,0.203056,295.07
14800,0.199879,295.07
14900,0.196752,295.07
15000,0.193674,295.07
15100,0.190644,295.07
15200,0.187661,295.07
15300,0.184725,295.07
15400,0.181835,295.07
15500,0.17899,295.07
15600,0.17619,295.07
15700,0.173433,295.07
15800,0.17072,295.07
15900,0.168049,295.07
16000,0.16542,295.07
16100,0.162832,295.07
16200,0.160284,295.07
16300,0.157777,295.07
16400,0.155308,295.07
16500,0.152878,295.07
16600,0.150487,295.07
16700,0.148132,295.07
16800,0.145815,295.07
16900,0.143533,295.07
17000,0.141288,295.07
17100,0.139077,295.07
17200,0.136901,295.07
17300,0.134759,295.07
17400,0.132651,295.07
17500,0.130576,295.07
17600,0.128533,295.07
17700,0.126522,295.07
17800,0.124543,295.07
17900,0.122594,295.07
18000,0.120676,295.07
18100,0.118788,295.07
18200,0.11693,295.07
18300,0.1151,295.07
18400,0.113299,295.07
18500,0.111527,295.07
18600,0.109782,295.07
18700,0.108064,295.07
18800,0.106374,295.07
18900,0.10471,295.07
19000,0.103071,295.07
19100,0.101459,295.07
19200,0.0998714,295.07
19300,0.0983089,295.07
19400,0.0967709,295.07
19500,0.0952569,295.07
19600,0.0937666,295.07
19700,0.0922996,295.07
19800,0.0908555,295.07
19900,0.0894341,295.07
20000,0.0880349,295.07
20100,0.0866179,295.138
20200,0.0852243,295.206
20300,0.0838538,295.274
20400,0.082506,295.342
20500,0.0811804,295.41
20600,0.0798768,295.478
20700,0.0785946,295.546
20800,0.0773336,295.614
20900,0.0760934,295.682
21000,0.0748737,295.75
21100,0.073674,295.818
21200,0.0724941,295.886
21300,0.0713336,295.954
21400,0.0701923,296.021
21500,0.0690697,296.089
21600,0.0679655,296.157
21700,0.0668795,296.225
21800,0.0658114,296.293
21900,0.0647607,296.361
22000,0.0637273,296.428
22100,0.0627109,296.496
22200,0.0617111,296.564
22300,0.0607278,296.632
22400,0.0597605,296.699
22500,0.0588091,296.767
22600,0.0578732,296.835
22700,0.0569526,296.903
22800,0.0560471,296.97
22900,0.0551564,297.038
23000,0.0542803,297.105
23100,0.0534184,297.173
23200,0.0525706,297.241
23300,0.0517367,297.308
23400,0.0509164,297.376
23500,0.0501094,297.443
23600,0.0493155,297.511
23700,0.0485346,297.579
23800,0.0477665,297.646
23900,0.0470108,297.714
24000,0.0462674,297.781
24100,0.045536,297.849
24200,0.0448166,297.916
24300,0.0441089,297.983
24400,0.0434126,298.051
24500,0.0427276,298.118
24600,0.0420538,298.186
24700,0.0413909,298.253
24800,0.0407387,298.32
24900,0.0400971,298.388
25000,0.0394658,298.455
25100,0.0388448,298.522
25200,0.0382338,298.59
25300,0.0376327,298.657
25400,0.0370414,298.724
25500,0.0364595,298.791
25600,0.0358871,298.859
25700,0.0353239,298.926
25800,0.0347698,298.993
25900,0.0342246,299.06
26000,0.0336882,299.128
26100,0.0331605,299.195
26200,0.0326413,299.262
26300,0.0321304,299.329
26400,0.0316277,299.396
26500,0.0311331,299.463
26600,0.0306465,299.53
26700,0.0301677,299.597
26800,0.0296966,299.664
26900,0.029233,299.732
27000,0.0287769,299.799
27100,0.0283281,299.866
27200,0.0278865,299.933
27300,0.0274519,300
27400,0.0270244,300.067
27500,0.0266036,300.133
27600,0.0261896,300.2
27700,0.0257823,300.267
27800,0.0253814,300.334
27900,0.024987,300.401
28000,0.0245988,300.468
28100,0.0242169,300.535
28200,0.023841,300.602
28300,0.0234712,300.669
28400,0.0231072,300.735
28500,0.022749,300.802
28600,0.0223966,300.869
28700,0.0220498,300.936
28800,0.0217084,301.003
28900,0.0213726,301.069
29000,0.021042,301.136
29100,0.0207167,301.203
29200,0.0203966,301.269
29300,0.0200816,301.336
29400,0.0197716,301.403
29500,0.0194664,301.469
29600,0.0191662,301.536
29700,0.0188707,301.603
29800,0.0185798,301.669
29900,0.0182936,301.736
30000,0.0180119,301.803
30100,0.0177347,301.869
30200,0.0174619,301.936
30300,0.0171934,302.002
30400,0.0169291,302.069
30500,0.016669,302.135
30600,0.016413,302.202
30700,0.016161,302.268
30800,0.015913,302.335
30900,0.015669,302.401
31000,0.0154288,302.468
31100,0.0151923,302.534
31200,0.0149596,302.6
31300,0.0147306,302.667
31400,0.0145051,302.733
31500,0.0142832,302.8
31600,0.0140648,302.866
31700,0.0138499,302.932
31800,0.0136383,302.999
31900,0.01343,303.065
32000,0.013225,303.131
32100,0.0130131,303.317
32200,0.0128048,303.502
32300,0.0126001,303.688
32400,0.0123989,303.873
32500,0.0122011,304.058
32600,0.0120068,304.243
32700,0.0118157,304.428
32800,0.011628,304.612
32900,0.0114434,304.797
33000,0.011262,304.982
33100,0.0110837,305.166
33200,0.0109084,305.35
33300,0.0107361,305.535
33400,0.0105667,305.719
33500,0.0104002,305.903
33600,0.0102365,306.086
33700,0.0100756,306.27
33800,0.00991734,306.454
33900,0.00976181,306.637
34000,0.00960889,306.821
34100,0.00945855,307.004
34200,0.00931073,307.187
34300,0.0091654,307.37
34400,0.0090225,307.553
34500,0.008882,307.736
34600,0.00874385,307.919
34700,0.008608,308.102
34800,0.00847443,308.284
34900,0.00834308,308.467
35000,0.00821392,308.649
35100,0.00808691,308.831
35200,0.00796201,309.013
35300,0.00783918,309.195
35400,0.00771839,309.377
35500,0.00759959,309.559
35600,0.00748277,309.741
35700,0.00736787,309.922
35800,0.00725486,310.104
35900,0.00714372,310.285
36000,0.00703441,310.467
36100,0.0069269,310.648
36200,0.00682115,310.829
36300,0.00671714,311.01
36400,0.00661483,311.191
36500,0.00651419,311.371
36600,0.0064152,311.552
36700,0.00631783,311.733
36800,0.00622205,311.913
36900,0.00612782,312.093
37000,0.00603513,312.274
37100,0.00594394,312.454
37200,0.00585424,312.634
37300,0.00576599,312.814
37400,0.00567917,312.993
37500,0.00559375,313.173
37600,0.00550972,313.353
37700,0.00542704,313.532
37800,0.00534569,313.712
37900,0.00526566,313.891
38000,0.00518691,314.07
38100,0.00510943,314.249
38200,0.00503319,314.428
38300,0.00495817,314.607
38400,0.00488436,314.786
38500,0.00481172,314.965
38600,0.00474025,315.143
38700,0.00466992,315.322
38800,0.00460071,315.5
38900,0.0045326,315.678
39000,0.00446557,315.856
39100,0.00439961,316.034
39200,0.0043347,316.212
39300,0.00427081,316.39
39400,0.00420794,316.568
39500,0.00414606,316.746
39600,0.00408516,316.923
39700,0.00402522,317.101
39800,0.00396623,317.278
39900,0.00390816,317.455
40000,0.00385101,317.633
40100,0.00379476,317.81
40200,0.00373939,317.987
40300,0.00368488,318.164
40400,0.00363123,318.34
40500,0.00357842,318.517
40600,0.00352644,318.694
40700,0.00347527,318.87
40800,0.00342489,319.047
40900,0.0033753,319.223
41000,0.00332648,319.399
41100,0.00327842,319.575
41200,0.00323111,319.751
41300,0.00318453,319.927
41400,0.00313867,320.103
41500,0.00309352,320.279
41600,0.00304907,320.454
41700,0.00300531,320.63
41800,0.00296222,320.805
41900,0.00291979,320.981
42000,0.00287802,321.156
42100,0.00283689,321.331
42200,0.00279639,321.506
42300,0.00275651,321.681
42400,0.00271725,321.856
42500,0.00267858,322.03
42600,0.00264051,322.205
42700,0.00260302,322.38
42800,0.00256609,322.554
42900,0.00252974,322.729
43000,0.00249393,322.903
43100,0.00245867,323.077
43200,0.00242395,323.251
43300,0.00238975,323.425
43400,0.00235607,323.599
43500,0.00232291,323.773
43600,0.00229024,323.947
43700,0.00225807,324.12
43800,0.00222638,324.294
43900,0.00219517,324.467
44000,0.00216443,324.641
44100,0.00213415,324.814
44200,0.00210433,324.987
44300,0.00207496,325.16
44400,0.00204602,325.333
44500,0.00201752,325.506
44600,0.00198945,325.679
44700,0.0019618,325.851
44800,0.00193456,326.024
44900,0.00190772,326.197
45000,0.00188129,326.369
45100,0.00185525,326.541
45200,0.0018296,326.714
45300,0.00180432,326.886
45400,0.00177943,327.058
45500,0.0017549,327.23
45600,0.00173074,327.402
45700,0.00170693,327.574
45800,0.00168348,327.745
45900,0.00166037,327.917
46000,0.0016376,328.088
46100,0.00161517,328.26
46200,0.00159307,328.431
46300,0.00157129,328.602
46400,0.00154983,328.774
46500,0.00152869,328.945
46600,0.00150786,329.116
46700,0.00148733,329.287
46800,0.0014671,329.457
46900,0.00144717,329.628
47000,0.00142753,329.799
47100,0.00140963,329.799
47200,0.00139195,329.799
47300,0.00137449,329.799
47400,0.00135725,329.799
47500,0.00134022,329.799
47600,0.00132341,329.799
47700,0.00130681,329.799
47800,0.00129042,329.799
47900,0.00127423,329.799
48000,0.00125825,329.799
48100,0.00124247,329.799
48200,0.00122688,329.799
48300,0.00121149,329.799
48400,0.0011963,329.799
48500,0.00118129,329.799
48600,0.00116647,329.799
48700,0.00115184,329.799
48800,0.00113739,329.799
48900,0.00112313,329.799
49000,0.00110904,329.799
49100,0.00109513,329.799
49200,0.00108139,329.799
49300,0.00106783,329.799
49400,0.00105443,329.799
49500,0.00104121,329.799
49600,0.00102815,329.799
49700,0.00101525,329.799
49800,0.00100252,329.799
49900,0.000989942,329.799
50000,0.000977525,329.799
50100,0.000965264,329.799
50200,0.000953156,329.799
50300,0.0009412,329.799
50400,0.000929395,329.799
50500,0.000917737,329.799
50600,0.000906225,329.799
50700,0.000894858,329.799
50800,0.000883634,329.799
50900,0.00087255,329.799
51000,0.000861606,329.799
51100,0.000851674,329.628
51200,0.000841846,329.457
51300,0.000832122,329.287
51400,0.0008225,329.116
51500,0.00081298,328.945
51600,0.00080356,328.774
51700,0.00079424,328.602
51800,0.000785018,328.431
51900,0.000775894,328.26
52000,0.000766867,328.088
52100,0.000757935,327.917
52200,0.000749098,327.745
52300,0.000740355,327.574
52400,0.000731705,327.402
52500,0.000723147,327.23
52600,0.000714681,327.058
52700,0.000706305,326.886
52800,0.000698018,326.714
52900,0.00068982,326.541
53000,0.00068171,326.369
53100,0.000673687,326.197
53200,0.000665749,326.024
53300,0.000657897,325.851
53400,0.00065013,325.679
53500,0.000642446,325.506
53600,0.000634845,325.333
53700,0.000627326,325.16
53800,0.000619888,324.987
53900,0.00061253,324.814
54000,0.000605252,324.641
54100,0.000598053,324.467
54200,0.000590932,324.294
54300,0.000583888,324.12
54400,0.000576921,323.947
54500,0.00057003,323.773
54600,0.000563214,323.599
54700,0.000556472,323.425
54800,0.000549803,323.251
54900,0.000543208,323.077
55000,0.000536684,322.903
55100,0.000530232,322.729
55200,0.000523851,322.554
55300,0.000517539,322.38
55400,0.000511298,322.205
55500,0.000505124,322.03
55600,0.000499019,321.856
55700,0.000492981,321.681
55800,0.000487009,321.506
55900,0.000481104,321.331
56000,0.000475263,321.156
56100,0.000469488,320.981
56200,0.000463776,320.805
56300,0.000458128,320.63
56400,0.000452542,320.454
56500,0.000447019,320.279
56600,0.000441557,320.103
56700,0.000436156,319.927
56800,0.000430815,319.751
56900,0.000425534,319.575
57000,0.000420311,319.399
57100,0.000415147,319.223
57200,0.000410041,319.047
57300,0.000404993,318.87
57400,0.000400001,318.694
57500,0.000395065,318.517
57600,0.000390184,318.34
57700,0.000385359,318.164
57800,0.000380588,317.987
57900,0.000375871,317.81
58000,0.000371207,317.633
58100,0.000366596,317.455
58200,0.000362037,317.278
58300,0.000357529,317.101
58400,0.000353073,316.923
58500,0.000348668,316.746
58600,0.000344313,316.568
58700,0.000340007,316.39
58800,0.00033575,316.212
58900,0.000331542,316.034
59000,0.000327382,315.856
59100,0.00032327,315.678
59200,0.000319205,315.5
59300,0.000315186,315.322
59400,0.000311214,315.143
59500,0.000307287,314.965
59600,0.000303405,314.786
59700,0.000299568,314.607
59800,0.000295775,314.428
59900,0.000292027,314.249
60000,0.000288321,314.07
60100,0.000284658,313.891
60200,0.000281038,313.712
60300,0.000277459,313.532
60400,0.000273923,313.353
60500,0.000270427,313.173
60600,0.000266972,312.993
60700,0.000263557,312.814
60800,0.000260182,312.634
60900,0.000256847,312.454
61000,0.00025355,312.274
61100,0.000250292,312.093
61200,0.000247072,311.913
61300,0.00024389,311.733
61400,0.000240746,311.552
61500,0.000237638,311.371
61600,0.000234567,311.191
61700,0.000231532,311.01
61800,0.000228533,310.829
61900,0.000225569,310.648
62000,0.00022264,310.467
62100,0.000219746,310.285
62200,0.000216886,310.104
62300,0.000214061,309.922
62400,0.000211268,309.741
62500,0.000208509,309.559
62600,0.000205783,309.377
62700,0.00020309,309.195
62800,0.000200428,309.013
62900,0.000197798,308.831
63000,0.0001952,308.649
63100,0.000192633,308.467
63200,0.000190097,308.284
63300,0.000187591,308.102
63400,0.000185115,307.919
63500,0.000182669,307.736
63600,0.000180253,307.553
63700,0.000177865,307.37
63800,0.000175507,307.187
63900,0.000173177,307.004
64000,0.000170875,306.821
64100,0.000168601,306.637
64200,0.000166355,306.454
64300,0.000164136,306.27
64400,0.000161944,306.086
64500,0.000159778,305.903
64600,0.000157639,305.719
64700,0.000155527,305.535
64800,0.00015344,305.35
64900,0.000151378,305.166
65000,0.000149342,304.982
65100,0.000147331,304.797
65200,0.000145344,304.612
65300,0.000143382,304.428
65400,0.000141444,304.243
65500,0.00013953,304.058
65600,0.000137639,303.873
65700,0.000135772,303.688
65800,0.000133928,303.502
65900,0.000132107,303.317
66000,0.000130308,303.131
66100,0.000128532,302.946
66200,0.000126778,302.76
66300,0.000125046,302.574
66400,0.000123335,302.388
66500,0.000121645,302.202
66600,0.000119977,302.016
66700,0.00011833,301.829
66800,0.000116703,301.643
66900,0.000115096,301.456
67000,0.00011351,301.269
67100,0.000111944,301.083
67200,0.000110397,300.896
67300,0.00010887,300.709
67400,0.000107362,300.522
67500,0.000105873,300.334
67600,0.000104403,300.147
67700,0.000102952,299.959
67800,0.000101519,299.772
67900,0.000100104,299.584
68000,9.87069E-05,299.396
68100,9.73279E-05,299.208
68200,9.59663E-05,299.02
68300,9.46222E-05,298.832
68400,9.32952E-05,298.644
68500,9.19852E-05,298.455
68600,0.000090692,298.266
68700,8.94154E-05,298.078
68800,8.81551E-05,297.889
68900,8.69111E-05,297.7
69000,0.000085683,297.511
69100,8.44708E-05,297.322
69200,8.32742E-05,297.133
69300,0.000082093,296.943
69400,8.09272E-05,296.754
69500,7.97764E-05,296.564
69600,7.86406E-05,296.374
69700,7.75195E-05,296.184
69800,0.000076413,295.994
69900,7.53209E-05,295.804
70000,0.000074243,295.614
70100,7.31792E-05,295.423
70200,7.21293E-05,295.233
70300,7.10931E-05,295.042
70400,7.00705E-05,294.852
70500,6.90613E-05,294.661
70600,6.80654E-05,294.47
70700,6.70825E-05,294.279
70800,6.61126E-05,294.087
70900,6.51555E-05,293.896
71000,0.000064211,293.704
71100,6.32556E-05,293.568
71200,6.23136E-05,293.431
71300,6.13847E-05,293.294
71400,6.04688E-05,293.157
71500,5.95657E-05,293.019
71600,5.86753E-05,292.882
71700,5.77974E-05,292.745
71800,5.69318E-05,292.608
71900,5.60784E-05,292.47
72000,0.000055237,292.333
72100,5.44074E-05,292.195
72200,5.35895E-05,292.058
72300,5.27832E-05,291.92
72400,5.19883E-05,291.783
72500,5.12046E-05,291.645
72600,0.000050432,291.507
72700,4.96703E-05,291.369
72800,4.89195E-05,291.231
72900,4.81793E-05,291.093
73000,4.74496E-05,290.955
73100,4.67302E-05,290.817
73200,4.60212E-05,290.679
73300,4.53222E-05,290.54
73400,4.46331E-05,290.402
73500,0.000043954,290.264
73600,4.32845E-05,290.125
73700,4.26246E-05,289.987
73800,4.19741E-05,289.848
73900,4.13329E-05,289.709
74000,0.000040701,289.57
74100,4.00781E-05,289.432
74200,3.94642E-05,289.293
74300,0.000038859,289.154
74400,3.82626E-05,289.015
74500,3.76748E-05,288.876
74600,3.70955E-05,288.737
74700,3.65245E-05,288.597
74800,3.59618E-05,288.458
74900,3.54072E-05,288.319
75000,3.48607E-05,288.179
75100,3.43221E-05,288.04
75200,3.37912E-05,287.9
75300,3.32681E-05,287.761
75400,3.27526E-05,287.621
75500,3.22446E-05,287.481
75600,0.000031744,287.341
75700,3.12507E-05,287.201
75800,3.07645E-05,287.061
75900,3.02855E-05,286.921
76000,2.98135E-05,286.781
76100,2.93484E-05,286.641
76200,2.88901E-05,286.501
76300,2.84385E-05,286.361
76400,2.79935E-05,286.22
76500,2.75551E-05,286.08
76600,2.71231E-05,285.939
76700,2.66975E-05,285.799
76800,2.62781E-05,285.658
76900,0.000025865,285.517
77000,2.54579E-05,285.377
77100,2.50568E-05,285.236
77200,2.46617E-05,285.095
77300,2.42724E-05,284.954
77400,2.38889E-05,284.813
77500,2.35111E-05,284.672
77600,2.31389E-05,284.53
77700,2.27722E-05,284.389
77800,0.000022411,284.248
77900,2.20551E-05,284.106
78000,2.17046E-05,283.965
78100,2.13593E-05,283.823
78200,2.10191E-05,283.682
78300,2.06841E-05,283.54
78400,0.000020354,283.398
78500,2.00289E-05,283.256
78600,1.97087E-05,283.114
78700,1.93932E-05,282.972
78800,1.90826E-05,282.83
78900,1.87765E-05,282.688
79000,1.84751E-05,282.546
79100,1.81783E-05,282.404
79200,1.78859E-05,282.262
79300,1.75979E-05,282.119
79400,1.73143E-05,281.977
79500,1.70349E-05,281.834
79600,1.67598E-05,281.691
79700,1.64889E-05,281.549
79800,1.62221E-05,281.406
79900,1.59593E-05,281.263
80000,1.57005E-05,281.12
